btcusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2018-07-28,-0.1994395557391595,1,btcusdt,linear,futr_15_close_perc_chg,205,none,1440,0.30000000000000004,0.7070671061389305
2018-07-29,0.5029349083602291,1,btcusdt,linear,futr_15_close_perc_chg,205,none,1440,0.30000000000000004,0.7070671061389305
2018-07-30,-0.7953003851317995,2,btcusdt,linear,futr_15_close_perc_chg,205,none,1440,0.30000000000000004,0.7070671061389305
2018-07-31,0.32268876547255904,2,btcusdt,linear,futr_15_close_perc_chg,205,none,1440,0.30000000000000004,0.7070671061389305
2018-08-01,0.6232135259998318,3,btcusdt,linear,futr_15_close_perc_chg,205,none,1440,0.30000000000000004,0.7070671061389305
2018-07-28,-0.06600044601564378,1,btcusdt,linear,futr_20_close_perc_chg,205,none,1440,0.30000000000000004,2.2491558096851882
2018-07-29,0.2690757197225295,3,btcusdt,linear,futr_20_close_perc_chg,205,none,1440,0.30000000000000004,2.2491558096851882
2018-07-30,-0.8592423266027452,2,btcusdt,linear,futr_20_close_perc_chg,205,none,1440,0.30000000000000004,2.2491558096851882
2018-07-31,2.4513348361221157,5,btcusdt,linear,futr_20_close_perc_chg,205,none,1440,0.30000000000000004,2.2491558096851882
2018-08-01,3.1034465070219843,4,btcusdt,linear,futr_20_close_perc_chg,205,none,1440,0.30000000000000004,2.2491558096851882
2018-07-28,-0.17360476919907353,1,btcusdt,linear,futr_25_close_perc_chg,205,none,1440,0.4,2.2232363058173816
2018-07-29,0.15493998355096555,3,btcusdt,linear,futr_25_close_perc_chg,205,none,1440,0.4,2.2232363058173816
2018-07-30,-0.5173800063010007,1,btcusdt,linear,futr_25_close_perc_chg,205,none,1440,0.4,2.2232363058173816
2018-07-31,1.8618269069471842,3,btcusdt,linear,futr_25_close_perc_chg,205,none,1440,0.4,2.2232363058173816
2018-08-01,1.2432641316683215,2,btcusdt,linear,futr_25_close_perc_chg,205,none,1440,0.4,2.2232363058173816
